
2024/04/26 (21:54:30) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/04/26 (21:54:30) | WARNING: ROCm SMI: Failed to get GPU power usage

2024/04/28 (22:08:36) | ===> btop++ v.1.3.2
2024/04/28 (22:08:36) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/04/28 (22:08:36) | WARNING: ROCm SMI: Failed to get GPU power usage

2024/04/29 (20:06:23) | ===> btop++ v.1.3.2
2024/04/29 (20:06:23) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/04/29 (20:06:23) | WARNING: ROCm SMI: Failed to get GPU power usage

2024/04/29 (20:16:17) | ===> btop++ v.1.3.2
2024/04/29 (20:16:17) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/04/29 (20:16:17) | WARNING: ROCm SMI: Failed to get GPU power usage

2024/04/30 (16:35:15) | ===> btop++ v.1.3.2
2024/04/30 (16:35:15) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/04/30 (16:35:15) | WARNING: ROCm SMI: Failed to get GPU power usage

2024/05/03 (18:21:42) | ===> btop++ v.1.3.2
2024/05/03 (18:21:42) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/03 (18:21:42) | WARNING: ROCm SMI: Failed to get GPU power usage

2024/05/04 (22:10:57) | ===> btop++ v.1.3.2
2024/05/04 (22:10:57) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/04 (22:10:57) | WARNING: ROCm SMI: Failed to get GPU power usage

2024/05/09 (22:22:13) | ===> btop++ v.1.3.2
2024/05/09 (22:22:13) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/09 (22:22:13) | WARNING: ROCm SMI: Failed to get GPU power usage

2024/05/10 (23:09:25) | ===> btop++ v.1.3.2
2024/05/10 (23:09:25) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/10 (23:09:25) | WARNING: ROCm SMI: Failed to get GPU power usage

2024/05/14 (13:30:20) | ===> btop++ v.1.3.2
2024/05/14 (13:30:20) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/14 (13:30:20) | WARNING: ROCm SMI: Failed to get GPU power usage

2024/05/14 (13:30:54) | ===> btop++ v.1.3.2
2024/05/14 (13:30:54) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/14 (13:30:54) | WARNING: ROCm SMI: Failed to get GPU power usage

2024/05/14 (13:31:39) | ===> btop++ v.1.3.2
2024/05/14 (13:31:39) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/14 (13:31:39) | WARNING: ROCm SMI: Failed to get GPU power usage

2024/05/15 (22:57:44) | ===> btop++ v.1.3.2
2024/05/15 (22:57:44) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/15 (22:57:44) | WARNING: ROCm SMI: Failed to get GPU power usage

2024/05/22 (20:45:33) | ===> btop++ v.1.3.2
2024/05/22 (20:45:33) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/22 (20:45:33) | WARNING: ROCm SMI: Failed to get GPU power usage

2024/05/29 (16:07:32) | ===> btop++ v.1.3.2
2024/05/29 (16:07:32) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/29 (16:07:32) | WARNING: ROCm SMI: Failed to get GPU power usage

2024/05/29 (23:13:17) | ===> btop++ v.1.3.2
2024/05/29 (23:13:17) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/29 (23:13:17) | WARNING: ROCm SMI: Failed to get GPU power usage

2024/05/30 (20:10:29) | ===> btop++ v.1.3.2
2024/05/30 (20:10:29) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/30 (20:10:29) | WARNING: ROCm SMI: Failed to get GPU power usage

2024/06/04 (09:45:37) | ===> btop++ v.1.3.2
2024/06/04 (09:45:37) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/06/04 (09:45:37) | WARNING: ROCm SMI: Failed to get GPU power usage

2024/06/04 (11:04:01) | ===> btop++ v.1.3.2
2024/06/04 (11:04:01) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/06/04 (11:04:01) | WARNING: ROCm SMI: Failed to get GPU power usage

2024/06/17 (12:26:57) | ===> btop++ v.1.3.2
2024/06/17 (12:26:57) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/06/17 (12:26:57) | WARNING: ROCm SMI: Failed to get GPU power usage

2024/06/22 (16:01:09) | ===> btop++ v.1.3.2
2024/06/22 (16:01:09) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/06/22 (16:01:09) | WARNING: ROCm SMI: Failed to get GPU power usage

2024/06/22 (16:07:59) | ===> btop++ v.1.3.2
2024/06/22 (16:07:59) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/06/22 (16:07:59) | WARNING: ROCm SMI: Failed to get GPU power usage

2024/06/29 (18:22:14) | ===> btop++ v.1.3.2
2024/06/29 (18:22:14) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/06/29 (18:22:14) | WARNING: ROCm SMI: Failed to get GPU power usage

2024/07/02 (16:25:05) | ===> btop++ v.1.3.2
2024/07/02 (16:25:05) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/02 (16:25:05) | WARNING: ROCm SMI: Failed to get GPU power usage

